classifier,population_size,workers,time,time_std,ptime,ptime_std
RandomForestClassifier,16000,2,133.35237711155787,1.111134264990185,132.17981291692703,1.109611948793295
RandomForestClassifier,16000,4,68.17253114101477,0.4537234046917069,66.94784994265065,0.4362853933288225
RandomForestClassifier,16000,8,35.84075946533121,0.435422344174002,34.41704945326783,0.4301072065155643
RandomForestClassifier,16000,16,19.45717011541128,0.1421315961213545,17.852224812936036,0.1475178539293311
RandomForestClassifier,16000,32,14.8108523204457,0.1989069287019915,12.798170256707817,0.2230316451506618
SVC,1000,1,0.6730635788291692,0.0130977569012641,0.6149690358433872,0.0128337813853048
SVC,1000,2,0.5263735454529523,0.0396530112708401,0.3763608941808343,0.0226440604539736
SVC,1000,4,0.3586093398276716,0.0183874204774913,0.2061016488820314,0.0157783020307389
SVC,1000,8,0.3708829931449145,0.033217568958061,0.1581724488176405,0.0237655837590792
SVC,1000,16,0.5377390797249972,0.0582136558939046,0.1699527146760374,0.0554396277377269
SVC,1000,32,0.8679573030676693,0.0374251258471478,0.1333661352284252,0.0079899810773369
SVC,2000,1,1.34650654559955,0.0278775033542386,1.2240751061588526,0.0223155598275869
SVC,2000,2,0.9713434364181012,0.0368062373486192,0.7309961888939143,0.0275547367986278
SVC,2000,4,0.6338874710723758,0.049330595709886,0.3949510520324111,0.0252184691126081
SVC,2000,8,0.5469418273307383,0.0303652070633422,0.2640058686491102,0.0198440096013491
SVC,2000,16,0.6305798998102545,0.0515111661704304,0.2211476958356797,0.0377487612168965
SVC,2000,32,0.9979609923437238,0.0710367708724837,0.2116384716238826,0.0257712151526821
SVC,4000,1,2.701721873180941,0.0215417883281782,2.457334529422224,0.0213778825226892
SVC,4000,2,1.7708090502768754,0.0382585160004412,1.465029777865857,0.0323949226877826
SVC,4000,4,1.1479085180908442,0.0401127774814138,0.7888441332615912,0.0440445564961676
SVC,4000,8,0.9260626228526234,0.0654501878643107,0.5113964390475303,0.064148726327176
SVC,4000,16,0.9228590883780272,0.0457918697848656,0.369023450743407,0.0291078182176762
SVC,4000,32,1.2098489184863863,0.0862871886535844,0.3197816630359739,0.0610116564916612
SVC,8000,1,5.433827094174921,0.0250620647796791,4.919691333733499,0.0186558374329697
