point,features,class,target,classifier,population_size,workers,time,ptime
0,64,0,0,RandomForestClassifier,8000,16,31.21029627416283,27.90883634146303
0,64,0,1,RandomForestClassifier,8000,16,31.9542427174747,28.55811571702361
1,64,1,0,RandomForestClassifier,8000,16,31.482146608643234,28.115423220209777
1,64,1,1,RandomForestClassifier,8000,16,31.764539344236255,28.249764312058687
0,64,0,0,RandomForestClassifier,16000,16,60.00907653383911,54.048126825131476
0,64,0,1,RandomForestClassifier,16000,16,60.79788703843951,54.67621036339551
1,64,1,0,RandomForestClassifier,16000,16,62.51532909553498,56.21406795550138
1,64,1,1,RandomForestClassifier,16000,16,61.314451629295945,55.38198844157159
0,64,0,0,RandomForestClassifier,1000,32,9.708768771961331,7.431183856911957
0,64,0,1,RandomForestClassifier,1000,32,9.627152818255126,7.493050650693476
1,64,1,0,RandomForestClassifier,1000,32,9.63111612200737,7.445761502720416
1,64,1,1,RandomForestClassifier,1000,32,10.281964815221727,7.937846731394529
0,64,0,0,RandomForestClassifier,2000,32,14.396935342811048,10.90418560244143
0,64,0,1,RandomForestClassifier,2000,32,15.622631134465337,12.189858273603022
1,64,1,0,RandomForestClassifier,2000,32,13.28862096183002,10.046178886666894
1,64,1,1,RandomForestClassifier,2000,32,14.280078945681453,10.688989107497036
0,64,0,0,RandomForestClassifier,4000,32,22.306657603010535,17.461819666437805
0,64,0,1,RandomForestClassifier,4000,32,19.55986969638616,15.883881893008947
1,64,1,0,RandomForestClassifier,4000,32,20.587914964184165,16.539786878041923
1,64,1,1,RandomForestClassifier,4000,32,20.557805696502328,16.575026034377515
0,64,0,0,RandomForestClassifier,8000,32,28.16231687553227,23.40067983046174
0,64,0,1,RandomForestClassifier,8000,32,28.688904649578035,23.450659638270736
1,64,1,0,RandomForestClassifier,8000,32,27.61910909321159,22.44503167551011
1,64,1,1,RandomForestClassifier,8000,32,27.414319183677435,22.702997606247663
0,64,0,0,RandomForestClassifier,16000,32,46.062965107150376,38.50191914662719
0,64,0,1,RandomForestClassifier,16000,32,47.56968093290925,39.79613675829023
1,64,1,0,RandomForestClassifier,16000,32,46.37618294823915,38.89996696729213
1,64,1,1,RandomForestClassifier,16000,32,46.88427030853927,38.787602371536195
