samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,0,4000,8,1,1,MLPClassifier,0.0188524012763382,0.0101482585415668,0.0055234306456858,0.0001886955459589,1.0
10,2,2,1,0,4000,9,1,0,MLPClassifier,0.0475555435723977,0.0281421186089199,0.0105819562024592,0.0121928326667532,1.0
10,2,2,1,0,4000,9,1,1,MLPClassifier,0.0249451173464425,0.0120725786254507,0.0068042879748613,5.748716956624489e-05,1.0
10,2,2,1,0,8000,0,1,0,MLPClassifier,0.6587885168480728,0.6537824997414268,0.0025547949258708,0.6502749750831174,1.0
10,2,2,1,0,8000,0,1,1,MLPClassifier,0.0174448978491759,0.0093799301277836,0.0048745719552123,0.0001730110906834,1.0
10,2,2,1,0,8000,1,0,0,MLPClassifier,0.0170501149596922,0.0086677329843241,0.0047003718493286,7.394622714151922e-07,1.0
10,2,2,1,0,8000,1,0,1,MLPClassifier,2.3145958037660788,2.302887149521783,0.0068925156173395,2.288320453781937,1.0
10,2,2,1,0,8000,2,0,0,MLPClassifier,0.017527946463956,0.0092657681579293,0.0049123344759815,7.394622714151922e-07,1.0
10,2,2,1,0,8000,2,0,1,MLPClassifier,1.191501873715524,1.186999393914615,0.0028556323289411,1.1685930892559575,1.0
10,2,2,1,0,8000,3,1,0,MLPClassifier,1.3328588695788135,1.3296523723514049,0.0016938616599993,1.326952338449382,1.0
10,2,2,1,0,8000,3,1,1,MLPClassifier,0.0171122740170623,0.0088182011088542,0.0047272893705738,1.2465935112615512e-05,1.0
10,2,2,1,0,8000,4,0,0,MLPClassifier,0.0178560304068167,0.0095479970771215,0.0049288664649027,0.0001197880597937,1.0
10,2,2,1,0,8000,4,0,1,MLPClassifier,0.482757130613853,0.4726530194917609,0.0048586216053741,0.4670165532690012,1.0
10,2,2,1,0,8000,5,0,0,MLPClassifier,0.0168809200402431,0.0090223979138056,0.0046340213112304,7.394622714151922e-07,1.0
10,2,2,1,0,8000,5,0,1,MLPClassifier,1.95149006628694,1.9470474810638547,0.005148902674323,1.9244291137088243,1.0
10,2,2,1,0,8000,6,1,0,MLPClassifier,0.4855150549487816,0.4791645542466499,0.0031907766327326,0.47340086145414,1.0
