samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,0,16000,9,1,0,MLPClassifier,0.0291516932524412,0.0191175182464767,0.0052672897687419,0.0114757845965142,1.0
10,2,2,1,0,16000,9,1,1,MLPClassifier,0.0108685904415919,0.0056008284350007,0.002985890019762,1.3643108334043808e-05,1.0
10,2,2,1,1,1000,0,1,0,MLPClassifier,0.2320760995970241,0.2249357865954789,0.003687219628953,0.2202245496615225,1.0
10,2,2,1,1,1000,0,1,1,MLPClassifier,0.0192642655719763,0.0098921581297385,0.0056022050151466,0.0005882328568715,1.0
10,2,2,1,1,1000,1,0,0,MLPClassifier,0.0476878334626987,0.0246496039181864,0.0138904470925137,0.0002708139947555,1.0
10,2,2,1,1,1000,1,0,1,MLPClassifier,2.909424671670941,2.8852964245212207,0.0106231172171664,2.8704789633767884,1.0
10,2,2,1,1,1000,2,0,0,MLPClassifier,0.0160810072315754,0.0073243182060794,0.0042944226882943,0.0002223007641291,1.0
10,2,2,1,1,1000,2,0,1,MLPClassifier,0.6600088513359269,0.6392270988815635,0.0106705387944088,0.6204964403456195,1.0
10,2,2,1,1,1000,3,0,0,MLPClassifier,0.0355520169321463,0.0191960381192432,0.010245342909973,0.0024319168004365,1.0
10,2,2,1,1,1000,3,0,1,MLPClassifier,1.9937123948723507,1.9861472384437215,0.0042361615218768,1.978712486862816,1.0
10,2,2,1,1,1000,4,1,0,MLPClassifier,0.1787665312337207,0.1724331306999611,0.0033313264168702,0.1680362379507312,1.0
10,2,2,1,1,1000,4,1,1,MLPClassifier,0.0161884270188691,0.0082068810680014,0.0045918908776625,5.792921411762464e-05,1.0
10,2,2,1,1,1000,5,1,0,MLPClassifier,0.3305118859615674,0.3179990272283996,0.0064120816065841,0.3083342019058441,1.0
10,2,2,1,1,1000,5,1,1,MLPClassifier,0.0242736098835394,0.0123142608698941,0.0067369814482859,4.654406430604219e-05,1.0
10,2,2,1,1,1000,6,1,0,MLPClassifier,0.2173519269504777,0.2096521716527656,0.0031338153497953,0.2066434200745707,1.0
10,2,2,1,1,1000,6,1,1,MLPClassifier,0.017391901366571,0.0092403613947372,0.0050481096451847,0.0003016141551035,1.0
10,2,2,1,1,1000,7,1,0,MLPClassifier,0.1826812228169774,0.1725397404417496,0.0043812459792992,0.1667237253385103,1.0
10,2,2,1,1,1000,7,1,1,MLPClassifier,0.0196052790739778,0.0103266383676889,0.0053299091244898,0.0001536418173251,1.0
10,2,2,1,1,1000,8,1,0,MLPClassifier,0.2586751749642046,0.2547226600949421,0.0018250565080808,0.2523028030554209,1.0
10,2,2,1,1,1000,8,1,1,MLPClassifier,0.018776635100872,0.0093239841614397,0.0051525314214209,0.0006807121668453,1.0
10,2,2,1,1,1000,9,0,0,MLPClassifier,0.0958429752548504,0.0491340394234267,0.0272270345025433,0.0006429710593756,1.0
10,2,2,1,1,1000,9,0,1,MLPClassifier,2.9186474481209874,2.9048926719210537,0.0080436455770724,2.883117231870538,1.0
10,2,2,1,1,2000,0,1,0,MLPClassifier,0.2265126546017879,0.2179125983440401,0.0037697249388583,0.2133196466245548,1.0
10,2,2,1,1,2000,0,1,1,MLPClassifier,0.0146031481120555,0.0071927400125328,0.0041849956627147,0.0001907042585127,1.0
10,2,2,1,1,2000,1,0,0,MLPClassifier,0.0452923964029365,0.0224236008336548,0.0125940473285926,0.0001678877549506,1.0
10,2,2,1,1,2000,1,0,1,MLPClassifier,2.951721101910322,2.927231252350542,0.0119782900966724,2.9086499576468503,1.0
10,2,2,1,1,2000,2,0,0,MLPClassifier,0.0200362595698277,0.0099280313472269,0.0056553526564654,0.0002780173065946,1.0
10,2,2,1,1,2000,2,0,1,MLPClassifier,0.6510746939598194,0.6391535476321042,0.0067279935060343,0.6268674109855371,1.0
10,2,2,1,1,2000,3,0,0,MLPClassifier,0.0302746137681486,0.0155203245332027,0.0085315865094659,8.931210042195659e-05,1.0
10,2,2,1,1,2000,3,0,1,MLPClassifier,2.001463321503778,1.9927767783606989,0.0050204760886736,1.9790075059123675,1.0
10,2,2,1,1,2000,4,1,0,MLPClassifier,0.1784558350361633,0.1706050908779177,0.0040438651139823,0.1651451348838275,1.0
