samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,1,16000,3,0,0,MLPClassifier,0.0265680345763366,0.0137647393349281,0.0074874688066378,1.0969905512414613e-05,1.0
10,2,2,1,1,16000,3,0,1,MLPClassifier,1.978640761191496,1.973770126380968,0.0028895984818739,1.968531543952947,1.0
10,2,2,1,1,16000,4,1,0,MLPClassifier,0.1961016745251254,0.189288953786215,0.0034418337103755,0.1846258238040883,1.0
10,2,2,1,1,16000,4,1,1,MLPClassifier,0.0143235748906691,0.0076237550513007,0.0040457764711159,1.0543999622608656e-05,1.0
10,2,2,1,1,16000,5,1,0,MLPClassifier,0.3485639361038953,0.3413821264927441,0.0039705758017708,0.335595675512679,1.0
10,2,2,1,1,16000,5,1,1,MLPClassifier,0.0168413671465371,0.0088495803320751,0.0047321856964867,3.1251561456224763e-05,1.0
10,2,2,1,1,16000,6,1,0,MLPClassifier,0.2254285588030516,0.2165471719079474,0.0044062163333789,0.2108301889213127,1.0
10,2,2,1,1,16000,6,1,1,MLPClassifier,0.015081538691107,0.008017069827127,0.0042441144267736,7.337386321304429e-06,1.0
10,2,2,1,1,16000,7,1,0,MLPClassifier,0.2046868428840129,0.1958932268087523,0.0043432569198845,0.1902468745678893,1.0
10,2,2,1,1,16000,7,1,1,MLPClassifier,0.0150381268452957,0.0078826826608087,0.0043147700148429,4.894641615904583e-05,1.0
10,2,2,1,1,16000,8,1,0,MLPClassifier,0.2698141630362848,0.2616849427119855,0.0041557442147159,0.2561927243571557,1.0
10,2,2,1,1,16000,8,1,1,MLPClassifier,0.0152662574943924,0.0077797444727489,0.0043068423409793,9.437692616187654e-06,1.0
10,2,2,1,1,16000,9,0,0,MLPClassifier,0.0713918248478076,0.0358501577752732,0.0203085819484078,0.0001881109082679,1.0
10,2,2,1,1,16000,9,0,1,MLPClassifier,2.902373854013482,2.889829478444634,0.0070870357190124,2.877448039650941,1.0
10,4,2,1,0,2000,0,0,0,MLPClassifier,0.0257685081016107,0.0136771753700847,0.0074767859713321,0.0004819817467316,1.0
10,4,2,1,0,2000,0,0,1,MLPClassifier,1.6745642232329263,1.664058625422663,0.0062253358455973,1.6540845370175818,1.0
10,4,2,1,0,2000,1,1,0,MLPClassifier,1.0518528373338027,1.0355496744552248,0.0117186165150485,1.0164764227073466,1.0
10,4,2,1,0,2000,1,1,1,MLPClassifier,0.0411702070014066,0.0211643482123329,0.0113039918049944,8.404592435562463e-06,1.0
10,4,2,1,0,2000,2,1,0,MLPClassifier,0.8514306105199556,0.8234034558270886,0.0152902298569992,0.7768761412066644,1.0
10,4,2,1,0,2000,2,1,1,MLPClassifier,0.0390594927502064,0.0207879051141124,0.0105141446931557,4.689314255712507e-05,1.0
10,4,2,1,0,2000,3,0,0,MLPClassifier,0.0315450156791625,0.0168884909712195,0.007791687058892,0.0002811099105129,1.0
10,4,2,1,0,2000,3,0,1,MLPClassifier,1.8052266488408728,1.792680672788144,0.0072256074593468,1.7819758763559632,1.0
10,4,2,1,0,2000,4,1,0,MLPClassifier,1.2521299319754542,1.241647865930927,0.0116583935557667,1.1015955715294916,1.0
10,4,2,1,0,2000,4,1,1,MLPClassifier,0.0361653849023841,0.019437577835737,0.0093673559585774,0.0011242226089769,1.0
10,4,2,1,0,2000,5,0,0,MLPClassifier,0.0329962570790201,0.0178675197180487,0.0089476684935382,0.0021350850083385,1.0
